,ship-city,ship-state,ship-postal-code
35970,Rura,Uttar Pradesh,209303.0
35971,VADODARA,Gujarat,390009.0
35972,VADODARA,Gujarat,390009.0
35973,BENGALURU,Karnataka,560078.0
35974,Guwahati,Assam,781003.0
35975,MUMBAI,Maharashtra,400081.0
35976,NICHLAUL,Uttar Pradesh,273311.0
35977,GHAZIABAD,Uttar Pradesh,201014.0
35978,DAMOH,Madhya Pradesh,470661.0
35979,BENGALURU,Karnataka,560078.0
35980,MADURAI,Tamil Nadu,625020.0
35981,MUMBAI,Maharashtra,400018.0
35982,PANIHATI,West Bengal,700114.0
35983,CHENNAI,Tamil Nadu,600037.0
35984,NEW DELHI,Delhi,110039.0
35985,DEHRADUN,Uttarakhand,248001.0
35986,NEW DELHI,Delhi,110016.0
35987,NASHIK,Maharashtra,422101.0
35988,AMRITSAR,Punjab,143001.0
35989,HOWRAH,West Bengal,711102.0
35990,THIRUVANANTHAPURAM,Kerala,695018.0
35991,NEW DELHI,Delhi,110017.0
35992,BENGALURU,Karnataka,560078.0
35993,COIMBATORE,Tamil Nadu,641012.0
35994,HYDERABAD,Telangana,500072.0
35995,GORAYA,Punjab,144418.0
35996,ALLAHABAD Prayagraj,Uttar Pradesh,211019.0
35997,Greater NOIDA,Uttar Pradesh,201301.0
35998,BUXAR,Bihar,802101.0
35999,BENGALURU,Karnataka,560042.0
36000,HYDERABAD,Telangana,500059.0
36001,HYDERABAD,Telangana,500059.0
36002,BENGALURU,Karnataka,560078.0
36003,CHENNAI,Tamil Nadu,600102.0
36004,BUXAR,Bihar,802101.0
36005,PARVATHIPURAM,Andhra Pradesh,535501.0
36006,THRISSUR,Kerala,680001.0
36007,CHENNAI,Tamil Nadu,600019.0
36008,MEERUT,Uttar Pradesh,250001.0
36009,THIRUVANANTHAPURAM,Kerala,695581.0
36010,AGRA,Uttar Pradesh,282005.0
36011,"NARASARAOPET,Guntur destrict",Andhra Pradesh,522601.0
36012,VARANASI,Uttar Pradesh,221001.0
36013,CUTTACK,Odisha,753011.0
36014,NOIDA,Uttar Pradesh,201301.0
36015,VARANASI,Uttar Pradesh,221001.0
36016,ARAKONAM,Tamil Nadu,631004.0
36017,Pirna,Goa,403513.0
36018,PUNE,Maharashtra,411006.0
36019,VISAKHAPATNAM,Andhra Pradesh,530046.0
36020,BENGALURU,Karnataka,560017.0
36021,BENGALURU,Karnataka,560100.0
36022,BENGALURU,Karnataka,560090.0
36023,Chennai,Tamil Nadu,600049.0
36024,PANCHKULA,Haryana,134117.0
36025,KRISHNAGIRI,Tamil Nadu,635001.0
36026,NEW DELHI,Delhi,110096.0
36027,UDAIPUR,Rajasthan,313001.0
